""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"0.00","26","23.758638","37.971738","38.291786","0.000000","55.05317812642545","27.52658906321272"
"1.00","26","23.758645","37.971745","38.291786","1.000000","48.820193515958735","24.410096757979368"
"2.00","26","23.758660","37.971759","38.291786","2.000000","41.45051490528176","20.725257452640882"
"3.00","26","23.758682","37.971780","38.291786","3.000000","70.0178081312849","35.00890406564245"
"4.00","26","23.758712","37.971807","39.779928","4.000000","80.42222782135343","40.211113910676715"
"5.00","26","23.758758","37.971833","52.952756","5.000000","62.760640883759876","31.380320441879938"
"6.00","26","23.758817","37.971856","62.749916","5.893475","64.68872061891811","32.344360309459056"
"7.00","26","23.758882","37.971867","77.545323","5.893475","67.21550088148805","33.60775044074403"
"8.00","26","23.758949","37.971865","91.801492","5.893475","98.73202937647653","49.366014688238266"
"9.00","26","23.759015","37.971855","98.560890","5.893475","82.34423323915975","41.172116619579874"
"10.00","26","23.759079","37.971841","105.427541","5.893475","66.16947476451968","33.08473738225984"
"11.00","26","23.759143","37.971824","106.824175","5.893475","76.81705461068412","38.40852730534206"
"12.00","26","23.759206","37.971807","106.824175","5.893475","59.438578403451324","29.71928920172566"
"13.00","26","23.759270","37.971790","106.824175","5.893475","32.847250853063315","16.423625426531657"
"14.00","26","23.759333","37.971773","106.824175","5.893475","74.52918050344942","37.26459025172471"
"15.00","26","23.759397","37.971756","106.824175","5.893475","60.82212783026077","30.411063915130384"
"16.00","26","23.759461","37.971739","106.953916","5.893475","62.10506374575869","31.052531872879346"
"17.00","26","23.759524","37.971722","107.072269","5.893475","59.18253708644599","29.591268543222995"
"18.00","26","23.759588","37.971705","106.914984","5.893475","59.70948971467561","29.854744857337806"
"19.00","26","23.759652","37.971689","105.698069","5.893475","62.761038781502556","31.380519390751278"
"20.00","26","23.759716","37.971674","105.698069","5.893475","50.2564439262635","25.12822196313175"
"21.00","26","23.759780","37.971658","105.698069","5.893475","67.22215868197125","33.611079340985626"
"22.00","26","23.759844","37.971642","105.698069","5.893475","49.42434718164529","24.712173590822644"
"23.00","26","23.759907","37.971624","108.836598","5.893475","68.54988683146327","34.274943415731634"
"24.00","26","23.759969","37.971604","109.674099","5.893475","53.56525301592318","26.78262650796159"
"25.00","26","23.760031","37.971585","109.674099","5.893475","62.51180138511275","31.255900692556374"
"26.00","26","23.760093","37.971565","111.125026","5.893475","62.54236794984417","31.27118397492209"
"27.00","26","23.760154","37.971543","112.446075","5.893475","62.96292379913172","31.48146189956586"
"28.00","26","23.760216","37.971521","112.446075","5.893475","57.440327368736675","28.720163684368334"
"29.00","26","23.760277","37.971499","112.446075","5.893475","64.96137198150161","32.48068599075081"
"30.00","26","23.760335","37.971474","117.866134","5.893475","64.56300573871847","32.28150286935924"
"31.00","26","23.760394","37.971447","117.866134","5.893475","45.627051696443544","22.813525848221772"
"32.00","26","23.760452","37.971421","117.866134","5.893475","58.84732508917867","29.423662544589334"
"33.00","26","23.760510","37.971395","117.866134","5.893475","46.52571059265142","23.26285529632571"
"34.00","26","23.760569","37.971369","117.866134","5.893475","53.70204577664498","26.85102288832249"
"35.00","26","23.760627","37.971343","117.866134","5.893475","49.920382878875614","24.960191439437807"
"36.00","26","23.760685","37.971316","117.883765","5.893475","64.58903862449743","32.29451931224872"
"37.00","26","23.760744","37.971290","118.018841","5.893475","49.37130149914153","24.685650749570765"
"38.00","26","23.760802","37.971264","118.018841","5.893475","72.63254907216043","36.316274536080215"
"39.00","26","23.760860","37.971237","118.018841","5.893475","52.13358906224701","26.066794531123506"
"40.00","26","23.760918","37.971211","118.018841","5.893475","58.99985808085356","29.49992904042678"
"41.00","26","23.760976","37.971184","119.495421","5.893475","83.08851993018685","41.544259965093424"
"42.00","26","23.761033","37.971156","119.495421","5.893475","69.0744360860294","34.5372180430147"
"43.00","26","23.761090","37.971129","119.495421","5.893475","73.10063163757235","36.550315818786174"
"44.00","26","23.761148","37.971101","119.495421","5.893475","42.158966916607305","21.079483458303653"
"45.00","26","23.761205","37.971074","119.495421","5.893475","42.276095885532115","21.138047942766057"
"46.00","26","23.761262","37.971046","119.495421","5.893475","56.80342871666043","28.401714358330214"
"47.00","26","23.761320","37.971019","119.495421","5.893475","46.68466189481467","23.342330947407337"
"48.00","26","23.761377","37.970991","119.947882","5.893475","80.11943684709482","40.05971842354741"
