""
"time"," id"," long"," lat"," angle"," speed"," RSSI"," Throughput"
"0.00","27","23.774376","37.968361","152.898572","0.000000","57.49560927830148","28.74780463915074"
"1.00","27","23.774381","37.968353","152.898572","1.000000","34.70796496979984","17.35398248489992"
"2.00","27","23.774390","37.968337","152.898572","2.000000","42.9077998076707","21.45389990383535"
"3.00","27","23.774405","37.968312","152.898572","3.000000","55.1020085504296","27.5510042752148"
"4.00","27","23.774425","37.968280","152.898572","4.000000","55.35950312077604","27.679751560388024"
"5.00","27","23.774449","37.968239","152.898572","5.000000","55.321620452770816","27.660810226385408"
"6.00","27","23.774478","37.968191","152.898572","5.893475","35.467177659976954","17.733588829988477"
"7.00","27","23.774506","37.968143","152.898572","5.893475","57.004337204343635","28.502168602171817"
"8.00","27","23.774535","37.968095","152.898572","5.893475","30.661900322113837","15.330950161056919"
"9.00","27","23.774564","37.968047","152.898572","5.893475","42.50261129718457","21.25130564859229"
"10.00","27","23.774593","37.967999","152.898572","5.893475","62.879703334406436","31.43985166720322"
"11.00","27","23.774621","37.967951","152.898572","5.893475","52.69036648380944","26.34518324190472"
"12.00","27","23.774650","37.967903","152.898572","5.893475","35.19620188551905","17.598100942759526"
"13.00","27","23.774674","37.967855","157.437308","5.893475","46.323689952284425","23.16184497614221"
"14.00","27","23.774698","37.967805","157.756540","5.893475","44.04986408769355","22.024932043846775"
"15.00","27","23.774717","37.967754","162.673917","5.893475","56.3749239157069","28.18746195785345"
"16.00","27","23.774731","37.967703","166.088079","5.893475","77.60721317960804","38.80360658980402"
"17.00","27","23.774734","37.967650","175.569612","5.893475","68.14162935652354","34.07081467826177"
"18.00","27","23.774732","37.967602","180.493255","5.327884","78.65220572681558","39.32610286340779"
"19.00","27","23.774724","37.967564","187.879278","4.327884","44.102181869894665","22.051090934947332"
"20.00","27","23.774718","37.967534","187.879278","3.327884","55.41064437444281","27.705322187221405"
"21.00","27","23.774702","37.967497","196.116259","4.327884","66.69097189824002","33.34548594912001"
"22.00","27","23.774673","37.967455","207.162404","5.327884","74.26335496016411","37.131677480082054"
"23.00","27","23.774635","37.967412","212.624905","5.893475","63.3764384931942","31.6882192465971"
"24.00","27","23.774592","37.967371","219.448424","5.893475","49.33160744271918","24.665803721359588"
"25.00","27","23.774541","37.967337","228.504233","5.893475","79.5695461011836","39.7847730505918"
"26.00","27","23.774485","37.967307","235.440826","5.893475","84.70008517212864","42.35004258606432"
"27.00","27","23.774426","37.967283","241.625905","5.893475","66.87826076093052","33.43913038046526"
"28.00","27","23.774363","37.967264","247.327997","5.893475","55.787921372917964","27.893960686458982"
"29.00","27","23.774299","37.967251","255.101490","5.893475","59.52930049012175","29.764650245060874"
"30.00","27","23.774233","37.967240","256.747542","5.893475","57.54142372714561","28.770711863572807"
"31.00","27","23.774167","37.967233","260.777558","5.893475","68.87716647653545","34.438583238267725"
"32.00","27","23.774100","37.967226","260.844296","5.893475","65.93921766023378","32.96960883011689"
"33.00","27","23.774034","37.967219","260.844296","5.893475","59.53258033028004","29.76629016514002"
"34.00","27","23.773967","37.967212","260.844296","5.893475","42.815740594296","21.407870297148"
"35.00","27","23.773901","37.967205","260.844296","5.893475","80.42372179965963","40.211860899829816"
"36.00","27","23.773834","37.967198","260.844296","5.893475","65.66601948769828","32.83300974384914"
"37.00","27","23.773768","37.967191","260.844296","5.893475","69.2115508298119","34.60577541490595"
"38.00","27","23.773701","37.967185","260.844296","5.893475","76.36436812938707","38.18218406469354"
"39.00","27","23.773635","37.967176","259.114473","5.893475","74.52034419603946","37.26017209801973"
"40.00","27","23.773569","37.967168","259.114473","5.893475","66.98485370756205","33.492426853781026"
"41.00","27","23.773503","37.967159","259.114473","5.893475","46.39119478099208","23.19559739049604"
